Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
1,1,2,"$780,000,000","$780,000,000",Taylor Swift,The Eras Tour †,2023–2024,56,13928571.0,[1]
2,1,7,"$579,800,000","$579,800,000",Beyoncé,Renaissance World Tour,2023,56,10353571.0,[3]
3,1,2,"$411,000,000","$560,622,615",Madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,4835294.0,[6]
4,2,10,"$397,300,000","$454,751,555",Pink,Beautiful Trauma World Tour,2018–2019,156,2546795.0,[7]
5,2,-1,"$345,675,146","$402,844,849",Taylor Swift,Reputation Stadium Tour,2018,53,6522173.0,[8]
6,2,10,"$305,158,363","$388,978,496",Madonna,The MDNA Tour,2012,88,3467709.0,[9]
7,2,-1,"$280,000,000","$381,932,682",Celine Dion,Taking Chances World Tour,2008–2009,131,2137405.0,[11]
7,-1,-1,"$257,600,000","$257,600,000",Pink,Summer Carnival †,2023–2024,41,6282927.0,[12]
9,-1,-1,"$256,084,556","$312,258,401",Beyoncé,The Formation World Tour,2016,49,5226215.0,[13]
10,-1,-1,"$250,400,000","$309,141,878",Taylor Swift,The 1989 World Tour,2015,85,2945882.0,[14]
11,-1,-1,"$229,100,000[b]","$283,202,896",Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606.0,[15][16]
12,-1,14,"$227,400,000","$295,301,479",Lady Gaga,The Monster Ball Tour *,2009–2011,203,1118227.0,[18]
13,-1,-1,"$204,000,000","$251,856,802",Katy Perry,Prismatic World Tour,2014–2015,151,1350993.0,[19]
14,1,-1,"$200,000,000","$299,676,265",Cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,615385.0,[20]
15,2,-1,"$194,000,000","$281,617,035",Madonna,Confessions Tour,2006,60,3233333.0,[5]
16,-1,-1,"$184,000,000","$227,452,347",Pink,The Truth About Love Tour,2013–2014,142,1295775.0,[22]
17,-1,-1,"$170,000,000","$213,568,571",Lady Gaga,Born This Way Ball,2012–2013,98,1734694.0,[d]
18,-1,-1,"$169,800,000","$207,046,755",Madonna,Rebel Heart Tour,2015–2016,82,2070732.0,[4]
19,-1,-1,"$167,700,000[e]","$204,486,106",Adele,Adele Live 2016,2016–2017,121,1385950.0,[25]
20,-1,-1,"$150,000,000","$185,423,109",Taylor Swift,The Red Tour,2013–2014,86,1744186.0,[26]
